OTU	Size	full_tax	Phylum_order 	Phylum	Class	Order	Family	Genus
Otu0712	57	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Pseudonocardiaceae100;Pseudonocardia99;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia
Otu0718	56	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Gordonibacter100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter
Otu0720	56	Bacteria100;Actinobacteria100;Actinobacteria100;Actinomycetales100;Actinomycetaceae100;Actinomyces100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
Otu0731	54	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0755	50	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Enterorhabdus100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Enterorhabdus
Otu0757	49	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Collinsella100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
Otu0768	48	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0820	42	Bacteria100;Actinobacteria100;Actinobacteria100;Bifidobacteriales100;Bifidobacteriaceae100;Bifidobacterium98;	04_Actinobacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu0838	40	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Atopobium100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Atopobium
Otu0844	38	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Slackia100;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia
Otu0850	38	Bacteria100;Actinobacteria100;Actinobacteria100;Coriobacteriales100;Coriobacteriaceae100;Gordonibacter95;	04_Actinobacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter
Otu0855	37	Bacteria100;Actinobacteria100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;Actinobacteria_unclassified100;	04_Actinobacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
