OTU	Size	full_tax	Phylum_order 	Phylum	Class	Order	Family	Genus
Otu0294	665	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0313	570	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0322	514	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0325	501	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0326	498	Bacteria100;Bacteroidetes100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu0336	447	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Odoribacter100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Otu0337	442	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0339	439	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0348	417	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0350	411	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Porphyromonadaceae_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified
Otu0351	410	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0364	379	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Paraprevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Otu0367	364	Bacteria100;Bacteroidetes100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu0375	345	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0377	344	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Parabacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu0380	335	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0384	322	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Barnesiella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Otu0389	310	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0398	280	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0402	277	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0403	276	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0419	243	Bacteria100;Bacteroidetes100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu0421	237	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0426	233	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0427	232	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0430	230	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Paraprevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Otu0432	226	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0452	189	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0465	173	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0468	171	Bacteria100;Bacteroidetes100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu0472	167	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0473	166	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0478	163	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0493	150	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0497	148	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0516	139	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Porphyromonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Otu0518	137	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Anaerorhabdus100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Anaerorhabdus
Otu0519	136	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0520	136	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0529	123	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Porphyromonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Otu0539	117	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0543	116	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0544	115	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0550	112	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0561	104	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0567	101	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidales_unclassified100;Bacteroidales_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	Bacteroidales_unclassified
Otu0568	101	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae82;Porphyromonadaceae_unclassified82;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified
Otu0592	93	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0593	91	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0594	91	Bacteria100;Bacteroidetes100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;Bacteroidetes_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu0601	88	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0602	88	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae98;Porphyromonadaceae_unclassified98;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified
Otu0606	87	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Parabacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu0609	86	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Paraprevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Otu0612	84	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0615	82	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0619	80	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0621	80	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0629	77	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0633	76	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0641	74	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0642	74	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Butyricimonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Otu0645	74	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0646	73	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0647	73	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0649	72	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0651	72	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0662	69	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0666	69	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0673	67	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotellaceae_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_unclassified
Otu0676	66	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0678	66	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0679	66	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0680	65	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Butyricimonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Otu0686	63	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0687	62	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0688	62	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0692	62	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0694	61	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Parabacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu0696	61	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0701	61	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0704	59	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0726	55	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0728	54	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0739	53	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0747	52	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0751	52	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0765	49	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0784	47	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0798	45	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Butyricimonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Otu0799	45	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0803	45	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0808	43	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0811	43	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0823	42	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0825	42	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0833	40	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Parabacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu0837	40	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0845	38	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Barnesiella98;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Otu0854	37	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0863	36	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0878	34	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0884	34	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Rikenellaceae100;Alistipes100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Otu0886	33	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Butyricimonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Otu0891	33	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0900	32	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidales_unclassified100;Bacteroidales_unclassified100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	Bacteroidales_unclassified
Otu0902	32	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0903	32	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Prevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Otu0913	31	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Parabacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Otu0914	31	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Porphyromonadaceae100;Butyricimonas100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Otu0930	30	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0934	29	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0936	29	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0956	28	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0959	28	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Prevotellaceae100;Paraprevotella100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Otu0960	28	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu0967	27	Bacteria100;Bacteroidetes100;Bacteroidia100;Bacteroidales100;Bacteroidaceae100;Bacteroides100;	01_Bacteroidetes	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
